"CompanyName_E","Region_Name_E","Circle_Name_E","Division_Name_E","DC_Name_E","Region_Name_E-2","gis_feeder_id","description_of_work","tkc_apply_date","pma_apply_date","dgm_apply_date","je_apply_date","gm_apply_date","gm_cert_apply_date"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","253233","LT Cable Augmentation Ashok gour wala 0388","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","64292","ADDISTIONAL DTR MANDIR KE PASS","2025-09-06","2025-09-07","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","243753","100 KVA TOWER WALA SODALPUR ADDITIONAL","2025-07-15","2025-07-16","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","251050","Bare conductor to ab cable 25kva bsnl tower colony","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-05","2025-11-05"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265853","Conversion of LT Line : MALPONE LT CABLE AUG GAON WALA DTR","2025-09-06","2025-09-07","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","64761","sheetala mata mandir 63 dtr choukdi","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","266844","Conversion of LT Line : LT Cable Augmentation Bhimpura 1 No DTR","2025-05-17","2025-05-18","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Bhind","O&M Division Gohad","Mau DC","Gwalior","47969","33KV NEW RATWA SS 33KV LINE 11LINE","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","255973","LT Cable Augmentation Shutar wala 0400","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","244377","Lt line work village wala","2025-09-06","2025-09-07","2025-11-06","2025-11-05","2025-11-06","2025-11-06"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Bhind","O&M Division Lahar","Alampur DC","Gwalior","48416","33 KV NEW ARUSHI SS","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258212","LT AUGGUMTETION bajrang mandir wala 25 kva 0394","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","266051","Additional dtr at nakwada bus stand nakwada","2025-09-06","2025-09-07","2025-11-10","2025-09-23","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258078","LT Cable Augmentation gaon wala kheda 63 kva 0687","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","241974","New LT for additional Tehsil wala  DTR ","2025-07-15","2025-07-16","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","241970","Additional dhane wala 100 kva","2025-09-06","2025-09-07","2025-11-10","2025-09-24","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","264538","Conversion of LT Line : 25 KVA BAJRANG MANDIR DHANPADA CABLE AUG.","2025-09-06","2025-09-07",NULL,"2026-03-12",NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","243413","additional dtr Suresh kumhar wala 63 kva","2025-05-18","2025-05-18","2025-12-03","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","244501","Additional dtr Makhan patel Wala 63kva","2025-09-06","2025-12-03","2025-12-07","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","250877","Bare conductor to ab cable 63 kva hpcl gaon wala","2025-09-06","2025-09-07","2025-11-04","2025-09-24","2025-11-05","2025-11-05"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","262805","cable agumentation jhabbu wala pokharni","2025-07-15","2025-07-16","2025-11-03","2025-09-24","2025-11-04","2025-11-04"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","260159","LT Cable Augmentation Kailash jat wala 0368","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","260125","LT Cable Augmentation Sangram singh 0412","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","262181","Additional Praveen bhayre wala 63 kva","2026-03-18","2026-03-19",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","211331","LT NEW HASANPURA","2025-09-06","2025-09-07",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","68826","ADDITIONAL 100KVA ATAKWAR WALA PIPLYA","2025-07-15","2025-07-15","2025-11-04","2025-09-24","2025-11-05","2025-11-05"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","255603","Cable aug.low to high 25kva goundi mohalla wala","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-05","2025-11-05"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","248884","CABLE AUGUMENTATION DARGAON BHYALI","2025-09-06","2025-09-07","2025-11-04","2025-09-24","2025-11-06","2025-11-06"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","250832","Bare conductor to ab cable 10 kva gondi pura colon","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-04","2025-11-04"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","241878","CABLE AUGUMENTATION 273 TALAB WALA DHOLPUR","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-06","2025-11-06"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","241877","CABLE AUGUMENTATION 247 SCHOOL DHOLPUR KAL A","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-06","2025-11-06"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Guna","O&M Division Raghogarh","Ruthyai DC","Gwalior","56621","Feeder Sepration : 11 KV Vishvnagar Aabadi","2025-03-28","2025-03-28","2025-03-28",NULL,"2025-03-28","2025-03-29"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","243226","Add.dtr","2026-03-19","2026-03-19",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","68588","additional durga mandir chhidgaon","2025-06-02","2025-06-06","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265947","Conversion of LT Line : BHUNNAS LT CABLE AUG BAJAR WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","243522","additional 63 kva dtr bagwad vikram wala","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-06","2025-11-06"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","241488","Additional DTR SARSUD2","2025-05-17","2025-05-17",NULL,NULL,NULL,NULL
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Guna","O&M Division Raghogarh","Jamner DC","Gwalior","48883","Pipalkhedi","2025-02-22","2025-03-28","2025-03-29",NULL,"2025-03-29","2025-03-29"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","267723","Conversion of LT Line : LT Cable Augmentation Sarangpur 1 No DTR","2025-05-17","2025-05-18","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","64290","ADDISTIONAL DTR RAJENDRA KOGE WALA","2025-05-17","2025-05-17","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","64601","DUMLAY ADDISTIONAL DTR SURAJ GUJAR WALA","2026-03-21",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","254901","LT Cable Augmentation School ke pass wala 0396 25","2025-05-17","2025-05-17","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","HARDA(T)","Bhopal","218661","CHHIPANER ROAD FEEDER","2025-09-06","2025-09-07",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","HARDA(T)","Bhopal","225737","Indore road -2 interconnection","2025-09-06","2025-09-07",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","242922","lt cable aug work ghasiram wala 25kva harda road k","2026-03-18","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","259738","LT Cable Augmentation MAYA RAM KE GHAR 0373","2025-05-17","2025-05-18","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","242394","LT BARE CONDUCTOR TO CABLE JUNAPANI(413)","2025-05-17","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","243464","new lt cable line for nosar agrawal wala","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","244376","Lot war wala Lt work","2025-06-07","2025-06-07","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","63671","200 KVA PALIWAL WALA RAHATGAON ADDITIONAL","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","252411","Bare low cable to high cable 25kva malapur road wa","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-05","2025-11-05"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","227299","Additional 63 kva dtr Imran beelding bale ki dukan","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","65557","punnu ke khet ke pas 63 kva addi. dtr","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","246196","Cable augmentation madan wala barja","2025-07-15","2025-07-16","2025-11-04","2025-09-24","2025-11-06","2025-11-06"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Bhind","O&M Division Mehgaon","Gormi DC","Gwalior","47906","33 kv akloni and 11 kv akloni line for new ss","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","266002","LT augmentation work nakwada","2025-06-07","2025-06-07","2025-12-08","2025-09-23","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","242289","LT BARE CONDUCTOR TO CABLE(409) GOPALPURA","2026-03-18",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","261895","LT survey kailash wala shankar gad","2026-03-18","2026-03-19",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","241838","CABLE AUGUMENTATION BARJA ROAD 4544410464","2025-07-15","2025-07-15","2025-11-04","2025-09-24","2025-11-06","2025-11-06"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","241822","CABLE AUGUMENTATION 4544410008 MANI GATE","2026-03-18","2026-03-20",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","242456","LT BARE CONDUCTOR TO CABLE SONPURA(289)","2026-03-19",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","242422","LT BARE CONDUCTOR TO CABLE SANGWA(262)","2026-03-18",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265974","Conversion of LT Line : SIGON LT CABLE AUG PAHADI WALA DTR","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","253900","LT Cable Augmentation Hanuman Mandir wala 0153","2026-03-18","2026-03-29",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258197","LT AUGGUMTETION pahanpat road wala 25kva","2025-09-06","2025-09-07","2025-11-10","2025-09-25","2025-11-13","2025-11-13"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","256894","100 KVA MANIYAKHEDI NAHAR CABLE CONVERSION","2026-03-18","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Masangaon D/C","Bhopal","266089","AUG.LT CABLE BAMANGAON","2026-03-18","2026-03-28",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","243003","lt cable aug work manohar wali kartana","2026-03-18","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","209103","add.kumbhikheda","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","244541","Gondagaon Tesla wala dtr","2026-03-18","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","252692","Bare low cable to high cable 63 kva balmukund wala","2026-03-19","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","254996","LT augmentation work nahal mohalla ranhaikala","2026-03-18","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","261911","lt survey kathdi ram mandir wala","2026-03-18","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","262840","LT CABLE AUGU balram nayagaon","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","241490","Additional DTR Kadolaragho2","2025-05-17","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","232183","Add dtr harijan basti gondagaon math","2025-05-17","2025-05-17","2025-12-08","2025-11-05","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","242535","Additional DTR at hardool baba sukhras","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241554","Additional dtr at liladhar ke pass charkheda","2026-03-21","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","206575","ADD. JAMNIYA KHURD","2026-03-21","2026-04-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","252169","100 KVA CHACHRE WALAL NIMYAGAON ADD.","2026-03-19","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","243765","100 KVA GOURI BATELA ADDITIONAL","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","252362","100 KVA BANKE WALA KASARNI ADDITIONAL","2026-03-19","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","243037","Additional DTR at near nahar ke pass balagaon","2026-03-19","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","242701","Additional DTR at near Sanju ke pass kelanpur","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Sheopur","O&M Division Sheopur South","Pandola DC","Gwalior","48256","11 kv mekhdi abaadi and 11 kv mekhdi pump","2025-08-31","2025-09-02","2025-09-04","2025-09-02","2025-09-04","2025-09-04"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Sheopur","O&M Division Sheopur North","Dhodhar DC","Gwalior","47985","Extension of 33 KV Dhiroli FDR for Kherghta S/s","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Datia","O&M Division Seondha","Indergarh-I DC","Gwalior","47716","33KV NEW SS RARUAJEEVAN 33KV LINE 11KV LINE","2025-04-07","2025-04-07","2025-04-07",NULL,"2025-04-07","2025-04-07"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","240306","Additional prakash loniya wala 63 kva","2026-03-20","2026-03-21",NULL,NULL,NULL,NULL
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Guna","O&M Division Guna","Rampur DC","Gwalior","63830","Feeder Sepration : 11 kv mohrikalan abadi","2025-03-28","2025-03-28","2025-03-28",NULL,"2025-03-28","2025-03-29"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Shivpuri","O&M Division Pichhore","Pichhore (R) DC","Gwalior","232178","Feeder Sepration : 11kv Malhawni Awadi","2025-03-28","2025-03-28","2025-03-28",NULL,"2025-03-28","2025-03-28"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Guna","O&M Division Guna","Aron DC","Gwalior","68963","Feeder Sepration : New11 kv saga Berkheda awadi","2025-01-29","2025-03-27","2025-03-27",NULL,"2025-03-28","2025-03-29"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","243207","Additional sundarlal nai wala 63 kva","2025-05-18","2025-05-18","2025-12-03","2025-09-24","2025-12-10","2025-12-10"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Ashoknagar","O&M Division Ashoknagar","Shadora DC","Gwalior","240303","Feeder Sepration : 11 KV Bagulya DLF New","2025-09-02","2025-09-02","2026-03-25","2026-03-19","2026-04-23","2026-04-23"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Guna","O&M Division Guna","Pagara DC","Gwalior","48424","New sub station","2025-04-17","2025-05-06","2025-05-15","2025-05-15","2025-05-26","2025-05-27"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Kartana D/C","Bhopal","265755","LT Con. & Aug.","2026-03-18","2026-03-19",NULL,NULL,NULL,NULL
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Guna","O&M Division Guna","Pagara DC","Gwalior","242035","Ext.of 11kv magrana Abadi feeder for fdr sep.","2025-01-30","2025-03-27","2025-03-27",NULL,"2025-03-28","2025-03-29"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","243545","Add.dtr","2026-03-20","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","64145","additional 100kva sanjay takis timarni","2025-06-02","2025-06-06","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","68732","ADDITIONAL 100KVA RAJESH KIRARA UNDRAKACH","2025-06-02","2025-06-06","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","200964","ADDITIONAL 100KVA SCHOOL WALA","2025-06-02","2025-06-06","2025-12-06","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","235548","11KV INTERCONNECTION Khamapadwa TO Kelanpur","2025-02-28","2025-02-28","2025-03-02","2025-09-23","2025-03-04","2025-03-04"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","204197","INTERCONNECTION RELWA JHALWA PUMP SHANTA BAI DTR","2025-02-28","2025-02-28","2025-03-02","2025-09-24","2025-03-04","2025-03-04"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","243079","Additional radheshyam katiya wala 100 kva","2026-03-19","2026-03-19",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","62901","SONKHEDI FEEDER","2025-02-28","2025-02-28","2025-03-02","2025-09-24","2025-03-04","2025-03-04"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Ashoknagar","O&M Division Mungawli","Bhadurpur DC","Gwalior","206510","New Substation 33/11KV","2026-03-09","2026-03-09","2026-04-07","2026-02-03","2026-04-23","2026-04-23"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Ashoknagar","O&M Division Ashoknagar","Toomen DC","Gwalior","202790","33/11 kv Bhadon S/S","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Shivpuri","O&M Division Pichhore","Khod DC","Gwalior","47304","new substation","2026-01-28",NULL,NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","210359","ADD.KALAKAHU WALA","2026-03-20","2026-04-25",NULL,NULL,NULL,NULL
"M/s UNIVERSAL MEP PROJECTS & ENGINEERING SERVICES LIMITED","Gwalior","O&M Circle Bhind","O&M Division Bhind","Bhind Water Work City Zone","Gwalior","217776","NEW ATER ROAD SS","2025-10-09","2025-10-09","2025-10-09",NULL,"2025-10-09","2025-10-09"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","253906","LT Cable Augmentation Jhanda Chowk -1 wala 0127","2025-05-18","2025-06-06","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","249798","100 KVA JACHAKI WALA RAHATGAON ADDITIONAL","2025-05-18","2025-05-18",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","212456","BHAMORI ADDISTIONA DTR VIJAY PATEL","2025-05-17","2025-05-17","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","218756","Additional IMLIDANA","2025-05-17","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","265518","LT Cable Augmentation Pandit ji ke ghar ke pass","2025-05-17","2025-05-18","2025-12-08","2025-06-06","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","202434","ADD. BHIMPURA BAJRANG KHEDA WALA","2025-05-16","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","202280","ADDITIONAL patel wala junapani","2025-05-16","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","210979","ADDITIONAL JUNAPANI PUMP WALA","2025-05-17","2025-05-17",NULL,NULL,NULL,NULL
