"CompanyName_E","Region_Name_E","Circle_Name_E","Division_Name_E","DC_Name_E","Region_Name_E-2","gis_feeder_id","description_of_work","tkc_apply_date","pma_apply_date","dgm_apply_date","je_apply_date","gm_apply_date","gm_cert_apply_date"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","265982","Conversion of LT Line : RAMPURA LT CABLE AUG GAON WALA DTR","2026-03-19","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","200621","ADDITIONAL DEEPGAON KALA","2025-05-16","2025-05-17",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","243645","Bare conductor replc. By AB cable 200 kva DTR gand","2026-03-18","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","262857","25 KVA SCHOOL WALA DOLARIYA CABLE AUG","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","266114","Conversion of LT Line : 16 KVA KAKAD IMLI WALA SODALPUR CABLE AUG","2026-03-18","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda North D/C","Bhopal","256126","SALYAKHEDI LT CABLE GAON VAN BHIBHAG WALA FS","2026-03-18","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Sirali Distribution Center","Bhopal","243469","Bare conductor replace by Ab cable 200 kva","2026-03-18","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Khirkiya D/C","Bhopal","258167","NEW ADDI Harijan mohalla 63 kva","2026-03-20","2026-03-28",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","257063","63 KVA MANDIR WALA JHADPA CABLE AUG.","2026-03-18","2026-03-21",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Charuwa D/C","Bhopal","241487","Additional DTR Somgaon2","2025-05-17","2025-05-17",NULL,NULL,NULL,NULL
